date_declaration,loi
2020-10-05,"Q-2, r. 33"
2020-10-05,"Q-2, r. 33"
2020-09-30,Q-2
2020-09-30,Q-2
2020-09-30,Q-2
2020-09-25,"Q-2, r. 33"
2020-09-25,Q-2
2020-09-25,Q-2
2020-09-25,Q-2
2020-09-23,"Q-2, r. 33"
2020-09-21,"Q-2, r. 32"
2020-09-21,Q-2
2020-09-17,"Q-2, r. 26"
2020-09-15,"Q-2, r. 33"
2020-09-09,Q-2
2020-09-01,Q-2
2020-09-01,"P-9.3, r. 1"
2020-09-01,"P-9.3, r. 1"
2020-08-28,"Q-2, r. 33"
2020-08-18,"P-9.3, r. 1"
2020-08-12,"Q-2, r. 26"
2020-08-10,Q-2
2020-08-10,Q-2
2020-07-28,P-9.3
2020-07-26,P-9.3
2020-07-17,"Q-2, r. 33"
2020-07-09,"Q-2, r. 33"
2020-07-03,Q-2
2020-07-03,Q-2
2020-06-29,Q-2
2020-06-26,Q-2
2020-06-26,"Q-2, r. 33"
2020-06-26,Q-2
2020-06-26,Q-2
2020-06-17,Q-2
2020-06-17,Q-2
2020-06-15,"Q-2, r. 7"
2020-06-10,Q-2
2020-06-10,Q-2
2020-06-03,Q-2
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-06-02,"Q-2, r. 40"
2020-05-19,Q-2
2020-04-07,"Q-2, r. 31"
2020-04-07,Q-2
2020-03-31,Q-2
2020-03-31,Q-2
2020-03-31,Q-2
2020-03-31,Q-2
2020-03-13,Q-2
2020-03-13,Q-2
2020-03-12,Q-2
2020-03-12,Q-2
2020-03-11,Q-2
2020-03-11,"Q-2, r. 26"
2020-03-09,Q-2
2020-03-09,"Q-2, r. 33"
2020-03-04,Q-2
2020-03-03,E-12.01
2020-02-27,Q-2
2020-02-27,Q-2
2020-02-26,E-12.01
2020-02-26,"Q-2, r. 7"
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-24,Q-2
2020-02-18,Q-2
2020-02-18,Q-2
2020-02-18,Q-2
2020-02-18,Q-2
2020-02-17,Q-2
2020-02-14,Q-2
2020-02-14,Q-2
2020-02-14,Q-2
2020-02-10,Q-2
2020-02-10,Q-2
2020-02-05,Q-2
2020-02-04,Q-2
2020-01-31,"Q-2, r. 27"
2020-01-31,"Q-2, r. 27"
2020-01-31,"Q-2, r. 27"
2020-01-28,Q-2
2020-01-16,Q-2
2020-01-16,"Q-2, r. 33"
2020-01-16,Q-2
2020-01-15,Q-2
2020-01-15,Q-2
2020-01-13,Q-2
2020-01-13,Q-2
2020-01-13,Q-2
2020-01-13,Q-2
2020-01-08,Q-2
2019-12-16,"Q-2, r. 33"
2019-12-11,"Q-2, r. 33"
2019-12-10,Q-2
2019-12-02,Q-2
2019-12-02,Q-2
2019-11-28,Q-2
2019-11-25,"Q-2, r. 32"
2019-11-25,"Q-2, r. 32"
2019-11-22,Q-2
2019-11-21,"Q-2, r. 33"
2019-11-13,"Q-2, r. 33"
2019-11-11,"Q-2, r. 26"
2019-11-11,"Q-2, r. 26"
2019-11-04,Q-2
2019-11-01,Q-2
2019-11-01,"Q-2, r. 19"
2019-11-01,"Q-2, r. 19"
2019-10-31,Q-2
2019-10-31,"Q-2, r. 7"
2019-10-31,Q-2
2019-10-31,Q-2
2019-10-30,Q-2
2019-10-30,Q-2
2019-10-29,Q-2
2019-10-28,"Q-2, r. 33"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,"Q-2, r. 40"
2019-10-24,Q-2
2019-10-24,"Q-2, r. 40"
2019-10-21,Q-2
